activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
talazoparib,dyspnoeas,29,24.25,1.2,1.08,1.15,0.84091,1.15458,1.53848
nifedipine,dyspnoeas,429,470.72,0.91,0.87,0.91,0.83974,0.91004,0.98416
rimabotulinumtoxinb,dyspnoeas,19,14.36,1.32,1.17,1.23,0.8395,1.24441,1.76409
balsalazide,dyspnoeas,19,14.37,1.32,1.27,1.23,0.83867,1.24318,1.76234
dextrose,dyspnoeas,1659,1905.9,0.87,0.72,0.87,0.83549,0.87016,0.90576
loracarbef,dyspnoeas,68,65.58,1.04,1.02,1.02,0.83477,1.02471,1.24152
bactrim,dyspnoeas,134,138.17,0.97,0.94,0.96,0.83442,0.96469,1.10787
menotropins,dyspnoeas,44,40.03,1.1,0.89,1.07,0.83374,1.07709,1.36387
amlodipine/perindopril,dyspnoeas,11,6.88,1.6,1.68,1.38,0.83322,1.4021,2.19531
olutasidenib,dyspnoeas,4,1.03,3.89,4.11,2.06,0.83282,2.05462,5.26956
cefaclor,dyspnoeas,596,668.55,0.89,0.85,0.89,0.83197,0.89059,0.95191
omeprazole,dyspnoeas,1528,1766.09,0.87,0.86,0.86,0.829,0.86487,0.90177
metformin,dyspnoeas,1978,2299.49,0.86,0.77,0.86,0.82854,0.85995,0.89214
bexarotene,dyspnoeas,30,25.69,1.17,1.13,1.12,0.82754,1.13003,1.49897
methionine,dyspnoeas,52,49.07,1.06,1.02,1.04,0.82427,1.04274,1.29688
pilocarpine,dyspnoeas,36,32.07,1.12,0.81,1.09,0.82376,1.09407,1.41814
pegenzileukin,dyspnoeas,45,41.62,1.08,1.21,1.06,0.82339,1.06061,1.33965
BCG,dyspnoeas,143,150.47,0.95,0.86,0.94,0.82197,0.94582,1.08153
vinblastine,dyspnoeas,47,43.92,1.07,1.26,1.05,0.82043,1.05092,1.32111
gamma oryzanol,dyspnoeas,9,5.19,1.73,1.31,1.44,0.81991,1.4592,2.38723
allopurinol,dyspnoeas,331,368.2,0.9,0.83,0.9,0.81871,0.89731,0.98079
terbutaline,dyspnoeas,84,84.66,0.99,1.75,0.98,0.81815,0.98347,1.16971
lidocaine,dyspnoeas,650,743.81,0.87,0.7,0.87,0.81802,0.87311,0.93062
nalbuphine,dyspnoeas,37,33.42,1.11,1.19,1.08,0.81686,1.08061,1.39606
mefenamate,dyspnoeas,32,28.18,1.14,1.13,1.1,0.81583,1.10281,1.45062
azilsartan,dyspnoeas,45,42.05,1.07,0.97,1.05,0.81517,1.05,1.32625
mitoxantrone,dyspnoeas,124,130.23,0.95,1.13,0.95,0.81429,0.94692,1.09324
calcitonin,dyspnoeas,118,123.46,0.96,0.91,0.95,0.81394,0.95018,1.10085
fosinopril,dyspnoeas,62,60.69,1.02,0.99,1.01,0.81372,1.0088,1.23287
follitropin delta,dyspnoeas,34,30.39,1.12,0.93,1.08,0.81315,1.0891,1.42165
thiethylperazine,dyspnoeas,9,5.25,1.71,1.61,1.42,0.81258,1.44596,2.36455
simvastatin,dyspnoeas,1544,1827.32,0.84,0.81,0.84,0.80981,0.84467,0.88051
varenicline,dyspnoeas,2344,2801.31,0.84,0.73,0.84,0.80847,0.83657,0.86531
ziprasidone,dyspnoeas,352,398.4,0.88,0.79,0.88,0.80708,0.88208,0.96159
thalidomide,dyspnoeas,1032,1215.03,0.85,0.87,0.85,0.80622,0.84893,0.89312
pralsetinib,dyspnoeas,9,5.32,1.69,1.75,1.41,0.80437,1.43112,2.3392
isatuximab,dyspnoeas,60,59.2,1.01,1.36,1,0.80411,1.00052,1.22661
branaplam,dyspnoeas,4,1.1,3.62,3.67,1.96,0.80222,1.9603,4.82027
ocrelizumab,dyspnoeas,1563,1868.22,0.84,1.17,0.84,0.80205,0.83635,0.87162
lorazepam,dyspnoeas,606,707.95,0.86,0.82,0.85,0.79939,0.85523,0.91361
sirolimus,dyspnoeas,356,407.11,0.87,0.84,0.87,0.79924,0.87307,0.95131
nivolumab,dyspnoeas,2738,3319.72,0.82,1.08,0.82,0.79897,0.82462,0.85081
dalteparin,dyspnoeas,114,121.25,0.94,0.81,0.93,0.7985,0.93472,1.08562
sibutramine,dyspnoeas,207,230.2,0.9,0.89,0.9,0.79815,0.89658,1.0028
picosulfate,dyspnoeas,5,1.88,2.66,2.52,1.72,0.79782,1.74507,3.49391
trastuzumab deruxtecan,dyspnoeas,167,183.7,0.91,1.18,0.9,0.79556,0.90573,1.02564
decitabine,dyspnoeas,115,123.36,0.93,1.21,0.93,0.79239,0.92692,1.07588
alpelisib,dyspnoeas,208,234.22,0.89,0.84,0.88,0.78854,0.88555,0.99019
amlodipine/atorvastatin,dyspnoeas,48,47.16,1.02,0.9,1,0.78393,1.00149,1.25609
water,dyspnoeas,54,54,1,0.65,0.98,0.78307,0.98618,1.22176
imiglucerase,dyspnoeas,236,269.73,0.87,1.34,0.87,0.78286,0.87286,0.9695
cyclophosphamide,dyspnoeas,924,1118.3,0.83,0.95,0.83,0.78195,0.82581,0.87129
testosterone,dyspnoeas,621,744.02,0.83,0.47,0.83,0.78017,0.83398,0.8902
dabrafenib,dyspnoeas,343,401.57,0.85,0.81,0.85,0.77938,0.85281,0.93071
ivosidenib,dyspnoeas,39,37.33,1.04,1.02,1.02,0.77925,1.02322,1.3136
morphine,dyspnoeas,1093,1333.93,0.82,0.74,0.82,0.77896,0.81902,0.86043
acetazolamide,dyspnoeas,59,60.12,0.98,0.94,0.97,0.77768,0.96944,1.19046
dexlansoprazole,dyspnoeas,144,160.52,0.9,0.88,0.89,0.77677,0.89337,1.02109
propranolol,dyspnoeas,398,470.73,0.85,0.8,0.84,0.77674,0.84438,0.91585
clindamycin,dyspnoeas,541,647.87,0.84,0.77,0.83,0.77669,0.83425,0.89461
armodafinil,dyspnoeas,96,103.39,0.93,0.84,0.92,0.7766,0.92227,1.08512
pipobroman,dyspnoeas,8,4.63,1.73,1.71,1.41,0.77607,1.43008,2.40069
tafluprost,dyspnoeas,32,29.73,1.08,0.74,1.04,0.77538,1.04809,1.37855
urokinase,dyspnoeas,72,75.4,0.95,1,0.94,0.77512,0.94588,1.14007
chloroprocaine,dyspnoeas,16,12.57,1.27,1.04,1.18,0.77395,1.18916,1.73355
diphenhydramine,dyspnoeas,347,409.55,0.85,0.81,0.85,0.77355,0.84598,0.9228
aspirin,dyspnoeas,1278,1576.97,0.81,0.74,0.81,0.77342,0.81012,0.84795
indium in 111 oxyquinoline,dyspnoeas,42,41.12,1.02,1.28,1,0.77146,1.00277,1.27636
cefazolin,dyspnoeas,206,237.12,0.87,1.14,0.87,0.77105,0.86639,0.96929
asenapine,dyspnoeas,179,204.25,0.88,0.75,0.87,0.77078,0.87359,0.98517
hydromorphone,dyspnoeas,411,490.82,0.84,0.8,0.84,0.77038,0.83634,0.90597
iloprost,dyspnoeas,975,1199.86,0.81,3.97,0.81,0.77019,0.81221,0.85572
edoxaban,dyspnoeas,182,208.38,0.87,0.83,0.87,0.76905,0.87071,0.98096
felodipine,dyspnoeas,78,83.13,0.94,0.94,0.93,0.76849,0.93033,1.11348
nabumetone,dyspnoeas,120,133.31,0.9,0.88,0.89,0.76825,0.89566,1.03644
warfarin,dyspnoeas,1440,1794.79,0.8,0.73,0.8,0.76781,0.80207,0.83733
evolocumab,dyspnoeas,2028,2548.59,0.8,0.64,0.8,0.76686,0.79556,0.82496
azathioprine,dyspnoeas,181,207.84,0.87,0.76,0.87,0.76652,0.86815,0.97839
tranexamic acid,dyspnoeas,48,48.31,0.99,0.99,0.98,0.76596,0.97852,1.22727
fluvastatin,dyspnoeas,122,136.23,0.9,0.89,0.89,0.7654,0.89119,1.03007
ixazomib,dyspnoeas,448,540.68,0.83,0.82,0.83,0.76506,0.82767,0.8936
methysergide,dyspnoeas,26,23.49,1.11,1.11,1.06,0.76499,1.06955,1.44632
thiamine,dyspnoeas,22,19.13,1.15,1.14,1.09,0.76487,1.10182,1.52636
edaravone,dyspnoeas,104,114.62,0.91,1.08,0.9,0.76476,0.90199,1.05475
codeine,dyspnoeas,206,239.12,0.86,0.77,0.86,0.76466,0.85921,0.96125
insulin glargine,dyspnoeas,794,978.86,0.81,0.64,0.81,0.76429,0.81067,0.85889
ligelizumab,dyspnoeas,2,0.09,21.33,17.12,4.82,0.76429,5.3517,25.21651
minoxidil,dyspnoeas,619,757.44,0.82,0.23,0.82,0.76383,0.81659,0.87174
orphenadrine,dyspnoeas,21,18.09,1.16,1.15,1.1,0.76358,1.10966,1.54805
butorphanol,dyspnoeas,125,140.4,0.89,0.95,0.88,0.76248,0.88613,1.02248
sucrose,dyspnoeas,20,17.11,1.17,1.15,1.11,0.75945,1.11412,1.56596
cinoxacin,dyspnoeas,21,18.2,1.15,1.15,1.09,0.75911,1.10316,1.53895
risedronate,dyspnoeas,239,282.25,0.85,0.85,0.84,0.75834,0.84492,0.93787
ethinyl estradiol,dyspnoeas,38,37.32,1.02,0.94,0.99,0.75711,0.99775,1.28482
trimethoprim/sulfamethoxazolee,dyspnoeas,48,48.9,0.98,0.97,0.96,0.75694,0.967,1.21283
brentuximab vedotin,dyspnoeas,238,282.22,0.84,1.07,0.84,0.75506,0.84146,0.93422
ravulizumab,dyspnoeas,68,72.67,0.94,0.99,0.92,0.75498,0.92674,1.1228
levocarnitine,dyspnoeas,15,11.88,1.26,1.58,1.16,0.75473,1.17632,1.73381
panobinostat,dyspnoeas,44,44.5,0.99,0.98,0.97,0.75288,0.97259,1.23148
dutasteride,dyspnoeas,180,211.45,0.85,0.84,0.85,0.74913,0.84875,0.95684
estradiol,dyspnoeas,1425,1820.37,0.78,0.51,0.78,0.74898,0.78257,0.81716
sulfasalazine,dyspnoeas,274,330.34,0.83,0.75,0.83,0.7485,0.82795,0.91283
dicyclomine,dyspnoeas,41,41.33,0.99,0.97,0.97,0.74733,0.97454,1.24384
methoxsalen,dyspnoeas,18,15.25,1.18,0.89,1.11,0.74642,1.1184,1.59842
canakinumab,dyspnoeas,266,321.16,0.83,0.74,0.83,0.74623,0.8267,0.91276
nadolol,dyspnoeas,69,74.81,0.92,0.9,0.91,0.74566,0.91391,1.10577
daprodustat,dyspnoeas,14,11.01,1.27,1.21,1.16,0.74361,1.17748,1.75672
gadofosveset,dyspnoeas,5,2.12,2.36,3.29,1.58,0.74225,1.61435,3.14743
progesterone/estrogen,dyspnoeas,21,18.67,1.12,0.99,1.07,0.74157,1.07764,1.50325
docetaxel,dyspnoeas,2439,3180.89,0.77,0.89,0.77,0.7414,0.76664,0.79246
cisapride,dyspnoeas,253,306.86,0.82,0.84,0.82,0.74083,0.82289,0.91078
lenvatinib,dyspnoeas,607,765.47,0.79,0.84,0.79,0.7407,0.7924,0.84645
dipyridamole,dyspnoeas,174,206.63,0.84,0.88,0.84,0.73946,0.83961,0.94842
mifepristone,dyspnoeas,187,223.14,0.84,0.84,0.84,0.73942,0.83575,0.94009
epinephrine,dyspnoeas,391,485.85,0.8,0.71,0.8,0.73887,0.80383,0.87249
shingrix,dyspnoeas,4,1.29,3.09,2.45,1.75,0.73871,1.77721,4.02798
celecoxib,dyspnoeas,1479,1917.82,0.77,0.7,0.77,0.73848,0.77098,0.80441
mupirocin,dyspnoeas,41,41.9,0.98,0.56,0.96,0.73746,0.96167,1.22741
moxetumomab pasudotox,dyspnoeas,6,3.04,1.97,2.96,1.46,0.73733,1.49458,2.70984
trimetrexate,dyspnoeas,9,5.94,1.52,2.29,1.29,0.7371,1.31005,2.13449
pantoprazole sodium,dyspnoeas,11,7.97,1.38,1.34,1.22,0.73697,1.23897,1.93493
enoxaparin,dyspnoeas,499,627.97,0.79,0.66,0.79,0.73693,0.79392,0.85377
rifampin,dyspnoeas,246,299.73,0.82,0.77,0.82,0.73635,0.81914,0.90791
temefos,dyspnoeas,10,6.96,1.44,1.59,1.25,0.73602,1.26961,2.02189
oxybate,dyspnoeas,1967,2574.72,0.76,0.78,0.76,0.73584,0.76381,0.79248
meloxicam,dyspnoeas,188,225.52,0.83,0.77,0.83,0.73582,0.8314,0.93493
venetoclax,dyspnoeas,834,1071.73,0.78,0.8,0.78,0.73435,0.77779,0.82291
levalbuterol,dyspnoeas,140,165.01,0.85,3.55,0.84,0.73346,0.84525,0.96787
tramadol,dyspnoeas,911,1175.22,0.78,0.72,0.77,0.73338,0.77482,0.81779
isavuconazonium,dyspnoeas,25,23.44,1.07,1.06,1.03,0.73298,1.03174,1.4028
thyrotropin alfa,dyspnoeas,24,22.31,1.08,0.92,1.03,0.73267,1.03876,1.42061
mycophenolate mofetil,dyspnoeas,867,1118.22,0.78,0.67,0.77,0.7325,0.77497,0.81905
ketoprofen,dyspnoeas,127,148.76,0.85,0.83,0.85,0.7324,0.85013,0.97987
dupilumab,dyspnoeas,3817,5074.21,0.75,0.64,0.75,0.73231,0.75216,0.77236
antacid,dyspnoeas,51,54.45,0.94,0.93,0.92,0.72927,0.92471,1.15235
caplacizumab,dyspnoeas,28,27.09,1.03,0.91,1,0.7278,1.00492,1.34507
anakinra,dyspnoeas,199,242.38,0.82,0.7,0.82,0.7274,0.81904,0.91806
fondaparinux,dyspnoeas,186,226.01,0.82,0.71,0.82,0.72598,0.82083,0.9236
gemtuzumab ozogamicin,dyspnoeas,137,163.02,0.84,1.23,0.84,0.72539,0.83728,0.96011
ibrutinib,dyspnoeas,1535,2028.12,0.76,0.77,0.76,0.72535,0.75667,0.78887
loteprednol,dyspnoeas,32,31.91,1,0.61,0.98,0.72502,0.97999,1.28889
naxitamab,dyspnoeas,9,6.06,1.48,2.31,1.27,0.72497,1.28829,2.09804
abatacept,dyspnoeas,2396,3195.24,0.75,0.78,0.75,0.72484,0.74975,0.77522
methyl,dyspnoeas,3,0.6,4.99,1.07,2.13,0.72173,2.07131,7.0304
latanoprost,dyspnoeas,332,419.42,0.79,0.54,0.79,0.72138,0.79052,0.86395
gemifloxacin,dyspnoeas,42,44.08,0.95,0.87,0.93,0.72137,0.93763,1.19342
ethiodized oil,dyspnoeas,7,4.1,1.71,1.43,1.36,0.72104,1.38501,2.39566
piperacillin/tazobactam,dyspnoeas,143,171.76,0.83,1.18,0.83,0.72103,0.82967,0.94872
hetastarch,dyspnoeas,28,27.38,1.02,1.46,0.99,0.7206,0.99497,1.33174
atorvastatin,dyspnoeas,2534,3404.59,0.74,0.69,0.74,0.72013,0.74418,0.76876
corifollitropin alfa,dyspnoeas,3,0.6,4.96,4.06,2.12,0.72003,2.06419,6.98295
streptokinase,dyspnoeas,120,142.35,0.84,1.18,0.84,0.72,0.8394,0.97133
linagliptin,dyspnoeas,189,232.07,0.81,0.77,0.81,0.71922,0.81237,0.91324
secukinumab,dyspnoeas,3130,4227.3,0.74,0.63,0.74,0.71879,0.74034,0.76232
duloxetine,dyspnoeas,1238,1645.28,0.75,0.65,0.75,0.71762,0.75223,0.78793
cytarabine,dyspnoeas,417,535.51,0.78,0.83,0.78,0.71699,0.77792,0.8422
methylcellulose,dyspnoeas,7,4.14,1.69,1.63,1.35,0.71668,1.37647,2.37999
patiromer,dyspnoeas,313,397.85,0.79,0.76,0.79,0.71495,0.78565,0.86087
dolasetron,dyspnoeas,18,16.03,1.12,1.53,1.06,0.71327,1.06865,1.52706
trovafloxacin,dyspnoeas,149,181.48,0.82,0.86,0.82,0.71327,0.81836,0.9333
raloxifene,dyspnoeas,288,365.84,0.79,0.65,0.79,0.71241,0.78605,0.8646
glucose,dyspnoeas,46,49.64,0.93,0.8,0.91,0.71158,0.91395,1.15155
interferon,dyspnoeas,5673,7806.82,0.73,0.61,0.73,0.71088,0.72663,0.74261
avacopan,dyspnoeas,42,44.94,0.93,0.92,0.92,0.70801,0.92028,1.17131
chlorpheniramine,dyspnoeas,225,283.91,0.79,0.81,0.79,0.70751,0.79095,0.88071
loratinib,dyspnoeas,3,0.63,4.76,4.82,2.06,0.70733,2.01206,6.63263
laxative,dyspnoeas,21,19.67,1.07,1.07,1.02,0.70666,1.02685,1.43223
leuprolide,dyspnoeas,1525,2068.67,0.74,0.6,0.74,0.70642,0.73702,0.76849
basiliximab,dyspnoeas,81,94.59,0.86,1.02,0.85,0.7053,0.85073,1.01491
fluorouracil,dyspnoeas,696,926.38,0.75,0.82,0.75,0.70508,0.7509,0.79867
methazolamide,dyspnoeas,12,9.51,1.26,1.22,1.14,0.70355,1.15631,1.77436
pafolacianine,dyspnoeas,2,0.12,16.6,25.68,3.94,0.70343,3.75611,21.2067
mirtazapine,dyspnoeas,413,540.43,0.76,0.71,0.76,0.7034,0.76348,0.82688
piperacillin,dyspnoeas,214,271.26,0.79,0.99,0.79,0.70223,0.7873,0.87898
naratriptan,dyspnoeas,26,25.77,1.01,1.01,0.97,0.7012,0.9803,1.32546
empagliflozin,dyspnoeas,414,543.87,0.76,0.68,0.76,0.70071,0.76049,0.82356
pindolol,dyspnoeas,32,33.08,0.97,0.97,0.94,0.70037,0.94665,1.24501
pregabalin,dyspnoeas,3219,4464.95,0.72,0.64,0.72,0.70018,0.72088,0.74197
hydrochlorothiazide/nebivolol,dyspnoeas,3,0.65,4.64,4.82,2.02,0.69926,1.97989,6.41413
cefditoren pivoxil,dyspnoeas,18,16.39,1.1,1.11,1.04,0.69918,1.04751,1.49676
valdecoxib,dyspnoeas,369,484.38,0.76,0.69,0.76,0.69776,0.761,0.82795
clonidine,dyspnoeas,251,323.32,0.78,0.52,0.77,0.69747,0.77505,0.85818
lymphocyte,dyspnoeas,57,64.71,0.88,1.23,0.87,0.69684,0.87206,1.07449
vindesine,dyspnoeas,17,15.3,1.11,1.6,1.05,0.69622,1.05561,1.52248
penicillin v benzathine,dyspnoeas,3,0.65,4.58,3.85,2,0.6957,1.96591,6.31881
vildagliptin,dyspnoeas,44,48.3,0.91,0.87,0.9,0.69546,0.8984,1.1375
sulfacetamide,dyspnoeas,21,20.01,1.05,0.64,1,0.69538,1.01045,1.40932
diethylpropion,dyspnoeas,21,20.03,1.05,1.04,1,0.69492,1.00977,1.40836
eletriptan,dyspnoeas,107,130.46,0.82,0.74,0.82,0.69394,0.81652,0.95276
prilocaine,dyspnoeas,90,108,0.83,0.56,0.83,0.69382,0.82872,0.98007
insulin degludec,dyspnoeas,128,158.76,0.81,0.68,0.8,0.69251,0.80336,0.92546
osilodrostat,dyspnoeas,22,21.35,1.03,0.96,0.99,0.6909,0.99517,1.3783
aminophylline,dyspnoeas,26,26.22,0.99,1.26,0.96,0.69005,0.96471,1.30435
tazobactam,dyspnoeas,151,190.37,0.79,1.01,0.79,0.68998,0.7909,0.90121
epoetin zeta,dyspnoeas,27,27.46,0.98,0.8,0.95,0.68942,0.95767,1.2881
ecallantide,dyspnoeas,34,36.16,0.94,0.83,0.92,0.68882,0.9225,1.20401
ropivacaine,dyspnoeas,52,59.12,0.88,0.73,0.87,0.68781,0.87009,1.08209
tamoxifen,dyspnoeas,313,413.74,0.76,0.73,0.76,0.68759,0.75559,0.82792
cefoxitin,dyspnoeas,51,57.86,0.88,1.08,0.87,0.68747,0.87169,1.08625
desogestrel,dyspnoeas,59,68.22,0.86,0.84,0.85,0.68746,0.85696,1.0523
asparaginase,dyspnoeas,106,130.57,0.81,0.77,0.81,0.68638,0.80825,0.94377
entrectinib,dyspnoeas,31,32.6,0.95,0.93,0.93,0.68525,0.93079,1.22914
lomefloxacin,dyspnoeas,48,54.37,0.88,0.89,0.87,0.68292,0.87242,1.09416
bevacizumab,dyspnoeas,2089,2952.26,0.71,0.85,0.71,0.68234,0.70749,0.73325
botox toxin,dyspnoeas,1213,1695.81,0.72,0.59,0.72,0.68187,0.7151,0.7494
patisiran,dyspnoeas,82,99.23,0.83,1.14,0.82,0.6818,0.82143,0.97893
minocycline,dyspnoeas,224,293.43,0.76,0.71,0.76,0.68149,0.76205,0.84873
esoomeprazole,dyspnoeas,5,2.43,2.06,1.95,1.44,0.68105,1.47452,2.81617
terazosin,dyspnoeas,181,234.35,0.77,0.76,0.77,0.6804,0.7706,0.86846
bromfenac,dyspnoeas,103,127.69,0.81,0.75,0.8,0.68032,0.80304,0.93972
salsalate,dyspnoeas,15,13.37,1.12,1.11,1.05,0.67933,1.05854,1.55929
fibrinogen,dyspnoeas,11,8.79,1.25,1.38,1.13,0.67893,1.14094,1.77994
dabigatran,dyspnoeas,1682,2380.46,0.71,0.67,0.71,0.67851,0.70646,0.73517
amphotericin b,dyspnoeas,236,311.55,0.76,0.93,0.76,0.6783,0.75627,0.84
atropine,dyspnoeas,166,214.41,0.77,0.86,0.77,0.6781,0.77232,0.87487
folic acid,dyspnoeas,25,25.49,0.98,0.79,0.95,0.67745,0.95354,1.29633
adalimumab,dyspnoeas,12104,17613.3,0.69,0.57,0.69,0.67697,0.68719,0.69752
cedazuridine,dyspnoeas,6,3.44,1.74,1.53,1.34,0.67684,1.36876,2.4593
cefradine,dyspnoeas,21,20.6,1.02,1.05,0.98,0.6768,0.98341,1.37153
durvalumab,dyspnoeas,302,405.11,0.75,1.14,0.74,0.67641,0.74459,0.81719
cyclopentolate,dyspnoeas,14,12.27,1.14,0.65,1.06,0.67582,1.06986,1.59519
daptomycin,dyspnoeas,239,317.22,0.75,0.95,0.75,0.67515,0.75223,0.83498
entacapone,dyspnoeas,79,96.24,0.82,0.8,0.81,0.67481,0.81591,0.97544
anifrolumab,dyspnoeas,26,26.87,0.97,1.55,0.94,0.67415,0.94246,1.27424
total parenteral nutrition,dyspnoeas,8,5.56,1.44,1.66,1.22,0.67297,1.23785,2.06589
avalglucosidase alfa,dyspnoeas,4,1.54,2.6,4.11,1.57,0.67286,1.60082,3.40795
cabozantinib,dyspnoeas,784,1097.67,0.71,0.72,0.71,0.67285,0.71395,0.75669
paregoric,dyspnoeas,13,11.18,1.16,1.08,1.07,0.67254,1.08357,1.63741
clofarabine,dyspnoeas,147,189.82,0.77,1.11,0.77,0.67247,0.77227,0.8815
pembrolizumab,dyspnoeas,1151,1630.43,0.71,0.9,0.71,0.6721,0.70576,0.74052
granisetron,dyspnoeas,66,79.16,0.83,0.66,0.83,0.67198,0.82744,1.00525
recombinant,dyspnoeas,565,787.51,0.72,0.96,0.72,0.6686,0.71705,0.76778
metolazone,dyspnoeas,40,45.21,0.88,0.86,0.87,0.66657,0.87215,1.11628
omega-3-acid ethyl esters,dyspnoeas,69,83.99,0.82,0.8,0.81,0.66562,0.8158,0.98705
antibiotic,dyspnoeas,4,1.58,2.54,1.19,1.54,0.66422,1.57844,3.33891
neostigmine,dyspnoeas,15,13.71,1.09,1.29,1.02,0.66412,1.0348,1.52417
apixaban,dyspnoeas,2441,3554.79,0.69,0.62,0.69,0.664,0.6866,0.70971
potassium chloride,dyspnoeas,119,153.32,0.78,0.79,0.77,0.66302,0.77348,0.89558
methimazole,dyspnoeas,55,65.45,0.84,0.72,0.83,0.6626,0.83264,1.02959
insulin detemir,dyspnoeas,16,14.99,1.07,0.82,1.01,0.66098,1.01526,1.47894
milnacipran,dyspnoeas,78,97.1,0.8,0.78,0.8,0.65973,0.79867,0.95588
flurbiprofen,dyspnoeas,44,51.05,0.86,0.76,0.85,0.65913,0.85146,1.07805
quinine,dyspnoeas,40,45.81,0.87,0.84,0.86,0.65816,0.86114,1.10217
chlophedianol,dyspnoeas,2,0.15,13.54,12.84,3.34,0.6578,2.97439,18.09717
potassium bicarbonate,dyspnoeas,2,0.15,13.54,12.84,3.34,0.6578,2.97439,18.09717
buprenorphine,dyspnoeas,807,1157.19,0.7,0.46,0.7,0.65756,0.69713,0.73826
tranylcypromine,dyspnoeas,63,76.84,0.82,0.71,0.81,0.65754,0.81373,0.99291
 tramadol hcl,dyspnoeas,6,3.59,1.67,1.5,1.3,0.65719,1.3282,2.38091
eribulin,dyspnoeas,142,187.25,0.76,1.18,0.76,0.65693,0.75628,0.86519
hydroxyurea,dyspnoeas,111,143.51,0.77,0.71,0.77,0.6569,0.77061,0.89675
encorafenib,dyspnoeas,95,121.29,0.78,0.73,0.78,0.656,0.77976,0.9182
carbidopa/levodopa/entacapone,dyspnoeas,101,129.79,0.78,0.74,0.77,0.65544,0.77497,0.90823
probenecid,dyspnoeas,17,16.38,1.04,1,0.98,0.65451,0.99229,1.43088
mannitol,dyspnoeas,56,67.76,0.83,1.25,0.82,0.65338,0.81934,1.0113
methocarbamol,dyspnoeas,25,26.53,0.94,0.92,0.91,0.65255,0.91846,1.24861
baclofen,dyspnoeas,493,700.78,0.7,0.42,0.7,0.65231,0.70308,0.75641
tocainide,dyspnoeas,42,48.94,0.86,0.87,0.84,0.65203,0.84749,1.07865
nusinersen,dyspnoeas,94,120.68,0.78,0.52,0.77,0.65182,0.77552,0.91397
sulindac,dyspnoeas,135,179.14,0.75,0.76,0.75,0.65039,0.75151,0.8626
thallium,dyspnoeas,13,11.61,1.12,1.58,1.04,0.65036,1.04776,1.58299
eteplirsen,dyspnoeas,31,34.46,0.9,1.24,0.88,0.64987,0.88271,1.16561
lindane,dyspnoeas,11,9.25,1.19,0.59,1.08,0.64964,1.09155,1.70215
gabapentin,dyspnoeas,1560,2302.7,0.68,0.59,0.68,0.64954,0.67735,0.70595
hydrocodine/ibuprofen,dyspnoeas,6,3.65,1.64,1.51,1.28,0.64915,1.31167,2.34924
carbidopa,dyspnoeas,216,296.56,0.73,0.69,0.73,0.64898,0.72721,0.81148
zanubrutinib,dyspnoeas,24,25.41,0.94,0.91,0.91,0.64847,0.91932,1.25705
dornase,dyspnoeas,184,250.34,0.73,2.11,0.73,0.6484,0.7336,0.82596
abacavir/dolutegravir/lamivudine,dyspnoeas,66,82.16,0.8,0.72,0.8,0.64795,0.79786,0.9693
acetaminophen/tramadol,dyspnoeas,32,35.95,0.89,0.88,0.87,0.64688,0.87433,1.14984
tofacitinib,dyspnoeas,3212,4824.02,0.67,0.61,0.67,0.64665,0.66578,0.68529
adagrasib,dyspnoeas,10,8.15,1.23,1.21,1.1,0.64564,1.11289,1.76868
ibalizumab,dyspnoeas,18,17.89,1.01,1.51,0.96,0.64514,0.96647,1.38067
degarelix,dyspnoeas,62,77,0.81,0.67,0.8,0.64474,0.79928,0.97677
echothiophate,dyspnoeas,8,5.9,1.36,0.84,1.16,0.64287,1.18203,1.9704
droxidopa,dyspnoeas,426,612.08,0.7,0.65,0.7,0.64161,0.69552,0.75237
ampicillin/sulbactam,dyspnoeas,92,119.85,0.77,1.11,0.76,0.64117,0.7643,0.90229
irinotecan,dyspnoeas,535,776.97,0.69,0.89,0.69,0.64047,0.68822,0.73829
isosulfan blue,dyspnoeas,8,5.95,1.34,1.16,1.15,0.63819,1.17337,1.95563
pseudoephedrine,dyspnoeas,235,329.94,0.71,0.69,0.71,0.63781,0.7113,0.79023
zestoretic,dyspnoeas,20,20.68,0.97,0.95,0.93,0.63755,0.93512,1.31383
acalabrutinib,dyspnoeas,112,149.45,0.75,0.76,0.75,0.6372,0.74695,0.86865
mechlorethamine,dyspnoeas,28,31.2,0.9,0.29,0.87,0.63668,0.87905,1.17645
acyclovir,dyspnoeas,382,550.75,0.69,0.71,0.69,0.63645,0.69309,0.753
imipenem,dyspnoeas,34,39.32,0.86,1.13,0.85,0.63552,0.85111,1.11078
finerenone,dyspnoeas,16,15.65,1.02,0.82,0.97,0.63531,0.97579,1.42127
urofollitropin,dyspnoeas,12,10.7,1.12,0.91,1.03,0.63522,1.04369,1.60026
crizanlizumab,dyspnoeas,50,61.42,0.81,1.08,0.8,0.6345,0.80648,1.00706
cotrimoxazole,dyspnoeas,20,20.8,0.96,0.84,0.92,0.63417,0.93016,1.30685
medroxyprogesterone,dyspnoeas,549,807.31,0.68,0.59,0.68,0.63314,0.67971,0.72851
glibornuride,dyspnoeas,5,2.73,1.83,1.67,1.33,0.63142,1.36343,2.57389
remdesivir,dyspnoeas,138,189.08,0.73,0.96,0.73,0.63111,0.72806,0.83446
